,country,club_name,club_code,link,gender,year,counter
0,Albania Football Clubs,Vllaznia-Shkoder,d8deaf72,https://fbref.com/en/squads/d8deaf72/2022-2023/all_comps/Vllaznia-Shkoder-Stats-All-Competitions,Female,2022,14
1,Armenia Football Clubs,FC-Pyunik,3022534,https://fbref.com/en/squads/03022534/2022-2023/all_comps/FC-Pyunik-Stats-All-Competitions,Male,2022,81
2,Australia Football Clubs,Adelaide-United,a4302376,https://fbref.com/en/squads/a4302376/2022-2023/all_comps/Adelaide-United-Stats-All-Competitions,Male,2022,88
3,Australia Football Clubs,Adelaide-United-Women,772ed712,https://fbref.com/en/squads/772ed712/2022-2023/all_comps/Adelaide-United-Women-Stats-All-Competitions,Female,2022,89
4,Australia Football Clubs,Brisbane-Roar-Women,f60413f7,https://fbref.com/en/squads/f60413f7/2022-2023/all_comps/Brisbane-Roar-Women-Stats-All-Competitions,Female,2022,92
5,Australia Football Clubs,Brisbane-Roar,3efc42c3,https://fbref.com/en/squads/3efc42c3/2022-2023/all_comps/Brisbane-Roar-Stats-All-Competitions,Male,2022,93
6,Australia Football Clubs,Canberra-United,a2fa3506,https://fbref.com/en/squads/a2fa3506/2022-2023/all_comps/Canberra-United-Stats-All-Competitions,Female,2022,96
7,Australia Football Clubs,Central-Coast-Mariners,605aca82,https://fbref.com/en/squads/605aca82/2022-2023/all_comps/Central-Coast-Mariners-Stats-All-Competitions,Male,2022,97
8,Australia Football Clubs,Macarthur-FC,f951d655,https://fbref.com/en/squads/f951d655/2022-2023/all_comps/Macarthur-FC-Stats-All-Competitions,Male,2022,99
9,Australia Football Clubs,Melbourne-City,31553c94,https://fbref.com/en/squads/31553c94/2022-2023/all_comps/Melbourne-City-Stats-All-Competitions,Male,2022,100
10,Australia Football Clubs,Melbourne-City-Women,6082332e,https://fbref.com/en/squads/6082332e/2022-2023/all_comps/Melbourne-City-Women-Stats-All-Competitions,Female,2022,101
11,Australia Football Clubs,Melbourne-Victory,fbcd7d37,https://fbref.com/en/squads/fbcd7d37/2022-2023/all_comps/Melbourne-Victory-Stats-All-Competitions,Male,2022,104
12,Australia Football Clubs,Melbourne-Victory-Women,4f6d7ee7,https://fbref.com/en/squads/4f6d7ee7/2022-2023/all_comps/Melbourne-Victory-Women-Stats-All-Competitions,Female,2022,105
13,Australia Football Clubs,Newcastle-Jets-Women,acd7ce24,https://fbref.com/en/squads/acd7ce24/2022-2023/all_comps/Newcastle-Jets-Women-Stats-All-Competitions,Female,2022,108
14,Australia Football Clubs,Newcastle-Jets,f9e3296b,https://fbref.com/en/squads/f9e3296b/2022-2023/all_comps/Newcastle-Jets-Stats-All-Competitions,Male,2022,109
15,Australia Football Clubs,Perth-Glory-Women,bae78cfe,https://fbref.com/en/squads/bae78cfe/2022-2023/all_comps/Perth-Glory-Women-Stats-All-Competitions,Female,2022,113
16,Australia Football Clubs,Perth-Glory,f2b23808,https://fbref.com/en/squads/f2b23808/2022-2023/all_comps/Perth-Glory-Stats-All-Competitions,Male,2022,114
17,Australia Football Clubs,Sydney,5903e501,https://fbref.com/en/squads/5903e501/2022-2023/all_comps/Sydney-Stats-All-Competitions,Female,2022,117
18,Australia Football Clubs,Sydney-FC,2466c132,https://fbref.com/en/squads/2466c132/2022-2023/all_comps/Sydney-FC-Stats-All-Competitions,Male,2022,119
19,Australia Football Clubs,Western-Sydney-Wanderers,38e60d08,https://fbref.com/en/squads/38e60d08/2022-2023/all_comps/Western-Sydney-Wanderers-Stats-All-Competitions,Male,2022,123
20,Australia Football Clubs,Western-Sydney-Wanderers-Women,25b31403,https://fbref.com/en/squads/25b31403/2022-2023/all_comps/Western-Sydney-Wanderers-Women-Stats-All-Competitions,Female,2022,124
21,Australia Football Clubs,Western-United,af4ccd77,https://fbref.com/en/squads/af4ccd77/2022-2023/all_comps/Western-United-Stats-All-Competitions,Male,2022,127
22,Australia Football Clubs,Western-United-Women,0a911f26,https://fbref.com/en/squads/0a911f26/2022-2023/all_comps/Western-United-Women-Stats-All-Competitions,Female,2022,128
23,Austria Football Clubs,FC-Bergheim,117f88e3,https://fbref.com/en/squads/117f88e3/2022-2023/all_comps/FC-Bergheim-Stats-All-Competitions,Female,2022,133
24,Austria Football Clubs,Red-Bull-Salzburg,50f2a074,https://fbref.com/en/squads/50f2a074/2022-2023/all_comps/Red-Bull-Salzburg-Stats-All-Competitions,Male,2022,137
