,original_code,new_code
0,VAN,VUT
1,SRI,LKA
2,MEX,MEX
3,CZE,CZE
4,GUF,GUF
5,RWA,RWA
6,BHU,BTN
7,CAN,CAN
8,TJK,TJK
9,BEL,BEL
10,CRC,CRI
11,GRN,GRD
12,NIR,GBR
13,VEN,VEN
14,CUW,CUW
15,VGB,VGB
16,LIB,LBN
17,BER,BMU
18,GUY,GUY
19,QAT,QAT
20,AUT,AUT
21,AZE,AZE
22,PHI,PHL
23,GUI,GIN
24,CYP,CYP
25,UKR,UKR
26,JPN,JPN
27,,null
28,MWI,MWI
29,HAI,HTI
30,CMR,CMR
31,SUR,SUR
32,GUA,GTM
33,MNE,MNE
34,USA,USA
35,SWE,SWE
36,SUD,SDN
37,CHN,CHN
38,SLE,SLE
39,SMA,SXM
40,NAM,NAM
41,GAM,GMB
42,JOR,JOR
43,POL,POL
44,SUI,CHE
45,RSA,ZAF
46,SRB,SRB
47,GEO,GEO
48,CTA,CAF
49,BLZ,BLZ
50,KGZ,KGZ
51,WAL,GBR
52,ATG,ATG
53,SYR,SYR
54,MSR,MSR
55,IRQ,IRQ
56,MTN,MRT
57,ISL,ISL
58,MOZ,MOZ
59,BEN,BEN
60,BLR,BLR
61,GHA,GHA
62,ALB,ALB
63,CGO,COG
64,UGA,UGA
65,NEP,NPL
66,UZB,UZB
67,LUX,LUX
68,TAN,TZA
69,KEN,KEN
70,CRO,HRV
71,FRO,FRO
72,GLP,GLP
73,BOT,BWA
74,ALG,DZA
75,PLE,PSE
76,KAZ,KAZ
77,ANG,AGO
78,PER,PER
79,ITA,ITA
80,COL,COL
81,TUN,TUN
82,CIV,CIV
83,MTQ,MTQ
84,JAM,JAM
85,ISR,ISR
86,THA,THA
87,SMN,SMR
88,LES,LSO
89,MAR,MAR
90,MLT,MLT
91,FRA,FRA
92,SKN,KNA
93,AFG,AFG
94,DOM,DOM
95,AUS,AUS
96,BFA,BFA
97,ENG,GBR
98,BOL,BOL
99,IRL,IRL
100,NCL,NCL
101,BRB,BRB
102,SEN,SEN
103,EQG,GNQ
104,ARU,ABW
105,COM,COM
106,RUS,RUS
107,GAB,GAB
108,ARG,ARG
109,ECU,ECU
110,GNB,GNB
111,HON,HND
112,KOR,KOR
113,COD,COD
114,BRA,BRA
115,ROU,ROU
116,ETH,ETH
117,LTU,LTU
118,CUB,CUB
119,ARM,ARM
120,BDI,BDI
121,DEN,DNK
122,NIG,NGA
123,BUL,BGR
124,LBR,LBR
125,LIE,LIE
126,MAS,MYS
127,PAK,PAK
128,STP,STP
129,TUR,TUR
130,LBY,LBY
131,MAD,MDG
132,NOR,NOR
133,IDN,IDN
134,CHI,CHL
135,MDA,MDA
136,ESP,ESP
137,MKD,MKD
138,NED,NLD
139,GRE,GRC
140,VIN,VCT
141,PAR,PRY
142,LVA,LVA
143,SVK,SVK
144,MRI,MUS
145,URU,URY
146,TOG,TGO
147,POR,PRT
148,EGY,EGY
149,LCA,LCA
150,IND,IND
151,AND,AND
152,CHA,TCD
153,GER,DEU
154,REU,REU
155,KVX,null
156,TRI,TTO
157,NGA,NGA
158,PUR,PRI
159,IRN,IRN
160,VIE,VNM
161,MLI,MLI
162,HUN,HUN
163,FIN,FIN
164,BIH,BIH
165,SSD,SSD
166,SVN,SVN
167,NZL,NZL
168,PAN,PAN
169,SIN,SGP
170,CPV,CPV
171,EST,EST
172,SEY,SYC
173,FIJ,FJI
174,ZIM,ZWE
175,SOM,SOM
176,SCO,GBR
177,GIB,GIB
178,KSA,SAU
179,ZAM,ZMB
