,original_code,new_code
0,JOR,JOR
1,PSE,PSE
2,ATG,ATG
3,LKA,LKA
4,CIV,CIV
5,AUS,AUS
6,PRT,PRT
7,TJK,TJK
8,LTU,LTU
9,ARM,ARM
10,DZA,DZA
11,BMU,BMU
12,MRT,MRT
13,TZA,TZA
14,UGA,UGA
15,KEN,KEN
16,USA,USA
17,STP,STP
18,LVA,LVA
19,BLZ,BLZ
20,PRY,PRY
21,NLD,NLD
22,HTI,HTI
23,MKD,MKD
24,BLR,BLR
25,MEX,MEX
26,MAR,MAR
27,SOM,SOM
28,MWI,MWI
29,,null
30,TUN,TUN
31,MYS,MYS
32,MDG,MDG
33,AFG,AFG
34,GBR,GBR
35,FRO,FRO
36,ZWE,ZWE
37,DOM,DOM
38,CUW,CUW
39,COM,COM
40,TGO,TGO
41,VGB,VGB
42,NZL,NZL
43,ABW,ABW
44,UZB,UZB
45,UKR,UKR
46,CHE,CHE
47,RWA,RWA
48,CHN,CHN
49,SEN,SEN
50,IRQ,IRQ
51,VUT,VUT
52,NAM,NAM
53,ISR,ISR
54,MLI,MLI
55,REU,REU
56,EGY,EGY
57,SSD,SSD
58,ISL,ISL
59,MLT,MLT
60,PAK,PAK
61,SMR,SMR
62,MOZ,MOZ
63,VEN,VEN
64,KGZ,KGZ
65,DEU,DEU
66,SRB,SRB
67,ITA,ITA
68,SWE,SWE
69,LBN,LBN
70,IRL,IRL
71,SGP,SGP
72,JAM,JAM
73,BDI,BDI
74,MNE,MNE
75,GMB,GMB
76,KNA,KNA
77,GUF,GUF
78,URY,URY
79,CAN,CAN
80,GUY,GUY
81,MSR,MSR
82,GRC,GRC
83,NCL,NCL
84,IDN,IDN
85,EST,EST
86,VCT,VCT
87,ESP,ESP
88,TTO,TTO
89,LIE,LIE
90,ARG,ARG
91,GTM,GTM
92,CZE,CZE
93,HND,HND
94,ALB,ALB
95,BIH,BIH
96,KAZ,KAZ
97,HUN,HUN
98,PHL,PHL
99,LCA,LCA
100,JPN,JPN
101,CMR,CMR
102,ROU,ROU
103,PRI,PRI
104,TCD,TCD
105,NOR,NOR
106,HRV,HRV
107,GAB,GAB
108,KOR,KOR
109,SXM,SXM
110,COL,COL
111,ZAF,ZAF
112,THA,THA
113,CPV,CPV
114,BGR,BGR
115,AUT,AUT
116,BRA,BRA
117,LSO,LSO
118,MUS,MUS
119,LBR,LBR
120,IRN,IRN
121,GLP,GLP
122,ECU,ECU
123,BEN,BEN
124,GIN,GIN
125,TUR,TUR
126,FRA,FRA
127,VNM,VNM
128,LBY,LBY
129,GHA,GHA
130,CHL,CHL
131,BOL,BOL
132,MDA,MDA
133,SAU,SAU
134,MTQ,MTQ
135,SYR,SYR
136,SVK,SVK
137,CAF,CAF
138,BTN,BTN
139,GNB,GNB
140,PER,PER
141,DNK,DNK
142,SDN,SDN
143,GIB,GIB
144,NPL,NPL
145,SVN,SVN
146,SUR,SUR
147,POL,POL
148,LUX,LUX
149,FJI,FJI
150,RUS,RUS
151,BRB,BRB
152,GNQ,GNQ
153,ETH,ETH
154,COD,COD
155,SLE,SLE
156,CUB,CUB
157,QAT,QAT
158,BWA,BWA
159,AGO,AGO
160,GEO,GEO
161,CYP,CYP
162,COG,COG
163,NGA,NGA
164,BEL,BEL
165,BFA,BFA
166,PAN,PAN
167,AZE,AZE
168,AND,AND
169,SYC,SYC
170,CRI,CRI
171,ZMB,ZMB
172,IND,IND
173,FIN,FIN
174,GRD,GRD
