,country_name,country_code,latitude,longitude
0,Norway,NOR,64.5731537,11.52803643954819
1,Kyrgyzstan,KGZ,42.4858224,74.714583
2,Burkina Faso,BFA,12.0753083,-1.6880314
3,Guatemala,GTM,15.5855545,-90.345759
4,Guinea-Bissau,GNB,11.815215,-15.2351044
5,Puerto Rico,PRI,18.2247706,-66.4858295
6,Costa Rica,CRI,9.536456900000001,-84.17566257468567
7,Qatar,QAT,39.1074426,47.5061085
8,Rwanda,RWA,-1.9646631,30.0644358
9,Cameroon,CMR,4.6125522,13.1535811
10,Hungary,HUN,41.9767629,-72.7789842
11,"Bolivia, Plurinational State of",BOL,-17.0568696,-64.9912286
12,Jamaica,JAM,18.1850507,-77.3947693
13,Bermuda,BMU,32.2937417,-64.7815286
14,Congo,COG,-2.9814344,23.8222636
15,Kazakhstan,KAZ,48.1012954,66.7780818
16,Armenia,ARM,4.491976149999999,-75.74135085294314
17,Réunion,REU,-21.1309332,55.5265771
18,Lesotho,LSO,-29.6039267,28.3350193
19,Finland,FIN,63.2467777,25.9209164
20,Slovakia,SVK,48.7411522,19.4528646
21,United States,USA,39.7837304,-100.445882
22,Russian Federation,RUS,64.6863136,97.7453061
23,Uganda,UGA,1.5333554,32.2166578
24,Paraguay,PRY,-23.3165935,-58.1693445
25,Malaysia,MYS,4.5693754,102.2656823
26,United Kingdom,GBR,54.7023545,-3.2765753
27,Iraq,IRQ,33.0955793,44.1749775
28,Haiti,HTI,19.1399952,-72.3570972
29,Angola,AGO,-11.8775768,17.5691241
30,Jordan,JOR,44.6663146,-93.6261918
31,Andorra,AND,42.5407167,1.5732033
32,Mauritania,MRT,-25.3669725,-54.3736391
33,Cyprus,CYP,34.9174159,32.889902651331866
34,Brazil,BRA,-10.3333333,-53.2
35,Ukraine,UKR,49.4871968,31.2718321
36,Ireland,IRL,52.865196,-7.9794599
37,Burundi,BDI,-3.426449,29.9324519
38,Senegal,SEN,14.4750607,-14.4529612
39,null,null,51.658552,10.3097114
40,Japan,JPN,40.9921996,-75.9078749
41,Suriname,SUR,4.1413025,-56.0771187
42,"Iran, Islamic Republic of",IRN,32.6475314,54.5643516
43,Malta,MLT,35.8885993,14.4476911
44,Botswana,BWA,-23.1681782,24.5928742
45,Benin,BEN,9.5293472,2.2584408
46,Montserrat,MSR,16.7417041,-62.1916844
47,Morocco,MAR,28.3347722,-10.371337908392647
48,Zimbabwe,ZWE,-18.4554963,29.7468414
49,Fiji,FJI,-18.1239696,179.0122737
50,Argentina,ARG,-34.9964963,-64.9672817
51,Slovenia,SVN,46.1199444,14.8153333
52,Tajikistan,TJK,38.6281733,70.8156541
53,China,CHN,30.047992,-94.3357433
54,Mali,MLI,16.3700359,-2.2900239
55,Mexico,MEX,19.4326296,-99.1331785
56,Vanuatu,VUT,-16.5255069,168.1069154
57,Panama,PAN,8.559559,-81.1308434
58,Israel,ISR,39.3181528,-79.8109014
59,Iceland,ISL,64.9841821,-18.1059013
60,Afghanistan,AFG,33.7680065,66.2385139
61,Georgia,GEO,32.3293809,-83.1137366
62,Saudi Arabia,SAU,25.6242618,42.3528328
63,Cuba,CUB,23.0131338,-80.8328748
64,"Virgin Islands, British",VGB,18.4024395,-64.5661642
65,France,FRA,46.603354,1.8883335
66,Bosnia and Herzegovina,BIH,44.3053476,17.5961467
67,Syrian Arab Republic,SYR,34.6401861,39.0494106
68,Switzerland,CHE,46.7985624,8.2319736
69,Austria,AUT,36.9148511,-4.7534501
70,Côte d'Ivoire,CIV,7.9897371,-5.5679458
71,South Africa,ZAF,-28.8166236,24.991639
72,Azerbaijan,AZE,40.3936294,47.7872508
73,Algeria,DZA,28.0000272,2.9999825
74,Sierra Leone,SLE,8.6400349,-11.8400269
75,Guadeloupe,GLP,16.2528827,-61.5686855
76,Honduras,HND,15.2572432,-86.0755145
77,Saint Vincent and the Grenadines,VCT,12.90447,-61.2765569
78,Sri Lanka,LKA,7.5554942,80.7137847
79,New Zealand,NZL,-41.5000831,172.8344077
80,Sint Maarten (Dutch part),SXM,,
81,Chile,CHL,-31.7613365,-71.3187697
82,Mozambique,MOZ,-19.302233,34.9144977
83,Antigua and Barbuda,ATG,17.2234721,-61.9554608
84,Tunisia,TUN,36.8002068,10.1857757
85,Türkiye,TUR,38.9597594,34.9249653
86,Thailand,THA,13.03876215,101.70017611907599
87,Mauritius,MUS,-20.2759451,57.5703566
88,Somalia,SOM,8.3676771,49.083416
89,Comoros,COM,-12.2045176,44.2832964
90,"Congo, The Democratic Republic of the",COD,-2.9814344,23.8222636
91,Czechia,CZE,49.7439047,15.3381061
92,Central African Republic,CAF,7.0323598,19.9981227
93,Indonesia,IDN,-2.4833826,117.8902853
94,Belize,BLZ,16.8259793,-88.7600927
95,Ghana,GHA,8.0300284,-1.0800271
96,Liechtenstein,LIE,47.1416307,9.5531527
97,Greece,GRC,43.2097838,-77.6930602
98,Aruba,ABW,12.5013629,-69.9618475
99,Portugal,PRT,39.6621648,-8.1353519
100,Croatia,HRV,45.3658443,15.6575209
101,India,IND,22.3511148,78.6677428
102,Gibraltar,GIB,36.1285933,-5.3474761
103,Curaçao,CUW,12.21339425,-69.0408499890865
104,Bhutan,BTN,33.0204804,75.6458366
105,Kenya,KEN,1.4419683,38.4313975
106,Gabon,GAB,-0.8999695,11.6899699
107,Equatorial Guinea,GNQ,1.613172,10.5170357
108,French Guiana,GUF,4.0039882,-52.999998
109,Faroe Islands,FRO,62.0448724,-7.0322972
110,"Korea, Republic of",KOR,38.233686649999996,127.00873073371443
111,Madagascar,MDG,-18.9249604,46.4416422
112,Luxembourg,LUX,49.6112768,6.129799
113,Serbia,SRB,44.024322850000004,21.07657433209902
114,Netherlands,NLD,52.2434979,5.6343227
115,Togo,TGO,8.7800265,1.0199765
116,Seychelles,SYC,-4.6574977,55.4540146
117,Grenada,GRD,12.1360374,-61.6904045
118,Philippines,PHL,12.7503486,122.7312101
119,Italy,ITA,42.6384261,12.674297
120,Ethiopia,ETH,6.7678,35.6343712
121,Liberia,LBR,5.7499721,-9.3658524
122,"Moldova, Republic of",MDA,47.0273122,28.82633975941325
123,Malawi,MWI,-13.2687204,33.9301963
124,Trinidad and Tobago,TTO,10.7466905,-61.0840075
125,Pakistan,PAK,30.3308401,71.247499
126,"Venezuela, Bolivarian Republic of",VEN,8.0018709,-66.1109318
127,Dominican Republic,DOM,19.0974031,-70.3028026
128,Cabo Verde,CPV,16.0000552,-24.0083947
129,Ecuador,ECU,-1.3397668,-79.3666965
130,Martinique,MTQ,14.6113732,-60.9620777
131,Uruguay,URY,-32.8755548,-56.0201525
132,Barbados,BRB,13.1500331,-59.5250305
133,San Marino,SMR,43.9458623,12.458306
134,Egypt,EGY,35.8681298,-90.9456751
135,Peru,PER,-6.8699697,-75.0458515
136,Colombia,COL,4.099917,-72.9088133
137,Libya,LBY,26.8234472,18.1236723
138,Chad,TCD,15.6134137,19.0156172
139,Nigeria,NGA,9.6000359,7.9999721
140,Namibia,NAM,-23.2335499,17.3231107
141,Australia,AUS,-24.7761086,134.755
142,Uzbekistan,UZB,41.32373,63.9528098
143,Nepal,NPL,-6.4955532,110.8440229
144,Guyana,GUY,4.8417097,-58.6416891
145,South Sudan,SSD,7.8699431,29.6667897
146,New Caledonia,NCL,-20.63784275,161.21176261225781
147,Lebanon,LBN,40.375713,-76.4626118
148,Latvia,LVA,56.8406494,24.7537645
149,Canada,CAN,61.0666922,-107.991707
150,"Palestine, State of",PSE,42.2088336,-79.4683738
151,Zambia,ZMB,-14.5189121,27.5589884
152,Lithuania,LTU,55.3500003,23.7499997
153,Sweden,SWE,44.133435,-70.822678
154,Denmark,DNK,55.670249,10.3333283
155,Romania,ROU,45.9852129,24.6859225
156,Estonia,EST,58.7523778,25.3319078
157,Belgium,BEL,50.6402809,4.6667145
