,country_name,country_code,latitude,longitude
0,Haiti,HTI,19.1399952,-72.3570972
1,Serbia,SRB,44.024322850000004,21.07657433209902
2,Bosnia and Herzegovina,BIH,44.3053476,17.5961467
3,Costa Rica,CRI,9.536456900000001,-84.17566257468567
4,Hungary,HUN,41.9767629,-72.7789842
5,Côte d'Ivoire,CIV,7.9897371,-5.5679458
6,Suriname,SUR,4.1413025,-56.0771187
7,United States,USA,39.7837304,-100.445882
8,Ecuador,ECU,-1.3397668,-79.3666965
9,Liechtenstein,LIE,47.1416307,9.5531527
10,Germany,DEU,40.4203479,-79.1166983
11,Ukraine,UKR,49.4871968,31.2718321
12,null,null,51.658552,10.3097114
13,Paraguay,PRY,-23.3165935,-58.1693445
14,Lithuania,LTU,55.3500003,23.7499997
15,Colombia,COL,4.099917,-72.9088133
16,Ghana,GHA,8.0300284,-1.0800271
17,Thailand,THA,13.03876215,101.70017611907599
18,New Zealand,NZL,-41.5000831,172.8344077
19,Tunisia,TUN,36.8002068,10.1857757
20,North Macedonia,MKD,41.6171214,21.7168387
21,Brazil,BRA,-10.3333333,-53.2
22,Netherlands,NLD,52.2434979,5.6343227
23,Jamaica,JAM,18.1850507,-77.3947693
24,Sweden,SWE,44.133435,-70.822678
25,Bulgaria,BGR,46.7889169,23.6184909
26,Israel,ISR,39.3181528,-79.8109014
27,Panama,PAN,8.559559,-81.1308434
28,Estonia,EST,58.7523778,25.3319078
29,Norway,NOR,64.5731537,11.52803643954819
30,Argentina,ARG,-34.9964963,-64.9672817
31,Kosovo,null,42.5869578,20.9021231
32,Croatia,HRV,45.3658443,15.6575209
33,Czechia,CZE,49.7439047,15.3381061
34,Portugal,PRT,39.6621648,-8.1353519
35,Faroe Islands,FRO,62.0448724,-7.0322972
36,Algeria,DZA,28.0000272,2.9999825
37,Andorra,AND,42.5407167,1.5732033
38,Türkiye,TUR,38.9597594,34.9249653
39,Peru,PER,-6.8699697,-75.0458515
40,"Taiwan, Province of China",TWN,,
41,Denmark,DNK,55.670249,10.3333283
42,Switzerland,CHE,46.7985624,8.2319736
43,Nigeria,NGA,9.6000359,7.9999721
44,Slovakia,SVK,48.7411522,19.4528646
45,Kenya,KEN,1.4419683,38.4313975
46,Azerbaijan,AZE,40.3936294,47.7872508
47,Aruba,ABW,12.5013629,-69.9618475
48,Cyprus,CYP,34.9174159,32.889902651331866
49,Belgium,BEL,50.6402809,4.6667145
50,China,CHN,30.047992,-94.3357433
51,Chile,CHL,-31.7613365,-71.3187697
52,Guyana,GUY,4.8417097,-58.6416891
53,United Kingdom,GBR,54.7023545,-3.2765753
54,Dominican Republic,DOM,19.0974031,-70.3028026
55,Mexico,MEX,19.4326296,-99.1331785
56,Afghanistan,AFG,33.7680065,66.2385139
57,Albania,ALB,1.2315264,-75.89204331320687
58,Cameroon,CMR,4.6125522,13.1535811
59,Luxembourg,LUX,49.6112768,6.129799
60,Zambia,ZMB,-14.5189121,27.5589884
61,Finland,FIN,63.2467777,25.9209164
62,Angola,AGO,-11.8775768,17.5691241
63,South Africa,ZAF,-28.8166236,24.991639
64,Ireland,IRL,52.865196,-7.9794599
65,Poland,POL,52.215933,19.134422
66,Slovenia,SVN,46.1199444,14.8153333
67,Canada,CAN,61.0666922,-107.991707
68,Italy,ITA,42.6384261,12.674297
69,Philippines,PHL,12.7503486,122.7312101
70,France,FRA,46.603354,1.8883335
71,"Korea, Republic of",KOR,38.233686649999996,127.00873073371443
72,Morocco,MAR,28.3347722,-10.371337908392647
73,"Venezuela, Bolivarian Republic of",VEN,8.0018709,-66.1109318
74,Mali,MLI,16.3700359,-2.2900239
75,Malawi,MWI,-13.2687204,33.9301963
76,Equatorial Guinea,GNQ,1.613172,10.5170357
77,Guatemala,GTM,15.5855545,-90.345759
78,Jordan,JOR,44.6663146,-93.6261918
79,Montenegro,MNE,-29.6826112,-51.4687455
80,Japan,JPN,40.9921996,-75.9078749
81,Spain,ESP,39.3260685,-4.8379791
82,Belarus,BLR,53.4250605,27.6971358
83,Greece,GRC,43.2097838,-77.6930602
84,Austria,AUT,36.9148511,-4.7534501
85,Australia,AUS,-24.7761086,134.755
86,Russian Federation,RUS,64.6863136,97.7453061
87,Romania,ROU,45.9852129,24.6859225
88,Iceland,ISL,64.9841821,-18.1059013
89,Senegal,SEN,14.4750607,-14.4529612
90,Malta,MLT,35.8885993,14.4476911
